
INCD-513123-h,15072039600005 October 2017 12:46pm,15072246000005 October 2017 6:30pm,161170,"TS23 3GT, TS23 3GJ, ..."
INCD-513124-h,15072041400005 October 2017 12:49pm,15072426000005 October 2017 11:30pm,7180,"TS1 2BE, TS1 2HU, TS..."
INCD-513186-h,15072085200005 October 2017 2:02pm,15072372000005 October 2017 10:00pm,2less than 10,S12 2TD
INCD-513257-h,15072183000005 October 2017 4:45pm,15072291000005 October 2017 7:45pm,100100,"TS25 3LE, TS25 3LQ, ..."
INCD-513274-h,15072210600005 October 2017 5:31pm,15072327000005 October 2017 8:45pm,5760,"LS13 3RN, LS13 3RQ, ..."
INCD-513283-h,15072192000005 October 2017 5:00pm,15072345000005 October 2017 9:15pm,4less than 10,DN39 6YD
INCD-53681-i,15072186000005 October 2017 4:50pm,15072300000005 October 2017 8:00pm,6less than 10,S66 9QF
INCD-513084-h,15071997600005 October 2017 11:36am,15072426000005 October 2017 11:30pm,4less than 10,"YO25 8NA, YO25 8LY"
